ts_code,buy_date,buy_price,sell_date,sell_price,shares,return_pct,pnl
000702,20240603,5.53,20240604,5.9,64300,6.69,23791.0
000529,20240603,6.79,20240604,6.85,52400,0.88,3144.0
000793,20240604,0.86,20240605,0.95,411100,10.47,36999.0
001267,20240604,5.44,20240605,5.12,65000,-5.88,-20800.0
000620,20240604,2.19,20240605,2.09,161500,-4.57,-16150.0
002377,20240605,2.04,20240606,1.86,173300,-8.82,-31194.0
002717,20240605,1.14,20240606,1.04,310200,-8.77,-31020.0
600881,20240605,1.14,20240606,1.04,310300,-8.77,-31030.0
603353,20240606,13.85,20240607,13.21,23200,-4.62,-14848.0
600589,20240606,3.74,20240607,3.93,86400,5.08,16416.0
002849,20240606,11.97,20240607,11.08,27000,-7.44,-24030.0
600403,20240607,2.92,20240611,2.8,107900,-4.11,-12948.0
605138,20240607,5.33,20240611,5.24,59100,-1.69,-5319.0
002494,20240607,3.27,20240611,3.18,96300,-2.75,-8667.0
603991,20240611,32.13,20240612,32.5,9500,1.15,3515.0
002607,20240611,1.88,20240612,1.93,163000,2.66,8150.0
600843,20240611,7.77,20240612,8.33,39400,7.21,22064.0
603580,20240612,19.51,20240613,20.75,16200,6.36,20088.0
001339,20240612,29.22,20240613,29.63,10800,1.4,4428.0
000680,20240612,8.36,20240613,8.03,38300,-3.95,-12639.0
002350,20240613,5.02,20240614,5.52,64000,9.96,32000.0
600052,20240613,4.48,20240614,4.63,71700,3.35,10755.0
600192,20240613,4.39,20240614,4.83,73200,10.02,32208.0
600067,20240614,1.83,20240617,1.77,189200,-3.28,-11352.0
002588,20240614,6.98,20240617,7.04,49600,0.86,2976.0
603717,20240614,6.6,20240617,6.52,52400,-1.21,-4192.0
600165,20240617,1.4,20240618,1.39,244300,-0.71,-2443.0
000851,20240617,1.85,20240618,1.86,184900,0.54,1849.0
603659,20240617,16.42,20240618,15.99,20800,-2.62,-8944.0
600337,20240618,2.18,20240619,2.07,155400,-5.05,-17094.0
002229,20240618,12.95,20240619,12.91,26100,-0.31,-1044.0
000980,20240618,1.69,20240619,1.59,201100,-5.92,-20110.0
000759,20240619,3.41,20240620,3.34,95600,-2.05,-6692.0
002490,20240619,1.85,20240620,1.76,176300,-4.86,-15867.0
600963,20240619,4.03,20240620,3.82,80900,-5.21,-16989.0
002323,20240620,1.19,20240621,1.21,263000,1.68,5260.0
000603,20240620,12.66,20240621,12.45,24700,-1.66,-5187.0
600396,20240620,2.87,20240621,2.85,109100,-0.7,-2182.0
000628,20240621,45.21,20240624,44.76,6900,-1.0,-3105.0
001226,20240621,26.47,20240624,25.1,11800,-5.18,-16166.0
000048,20240621,14.22,20240624,12.8,21900,-9.99,-31098.0
600505,20240624,11.19,20240625,11.33,26400,1.25,3696.0
600567,20240624,1.43,20240625,1.46,206600,2.1,6198.0
600644,20240624,6.8,20240625,6.4,43400,-5.88,-17360.0
002305,20240625,1.62,20240626,1.57,180800,-3.09,-9040.0
002146,20240625,1.52,20240626,1.48,192800,-2.63,-7712.0
000720,20240625,2.5,20240626,2.46,117200,-1.6,-4688.0
600571,20240626,9.92,20240627,10.09,28800,1.71,4896.0
002348,20240626,2.4,20240627,2.31,119100,-3.75,-10719.0
603533,20240626,18.23,20240627,19.12,15600,4.88,13884.0
600192,20240627,4.59,20240628,4.58,62800,-0.22,-628.0
603860,20240627,29.46,20240628,28.84,9700,-2.1,-6014.0
000004,20240627,10.58,20240628,11.64,27500,10.02,29150.0
603327,20240628,9.72,20240701,10.02,30400,3.09,9120.0
002355,20240628,4.5,20240701,4.72,65800,4.89,14476.0
600719,20240628,9.99,20240701,9.45,29600,-5.41,-15984.0
000042,20240701,4.35,20240702,4.44,68600,2.07,6174.0
002431,20240701,1.54,20240702,1.69,193900,9.74,29085.0
600266,20240701,3.96,20240702,3.96,75400,0.0,0.0
605128,20240702,19.22,20240703,18.48,16100,-3.85,-11914.0
002989,20240702,16.35,20240703,16.08,19000,-1.65,-5130.0
002256,20240702,1.46,20240703,1.47,212900,0.68,2129.0
603002,20240703,5.02,20240704,5.05,60800,0.6,1824.0
603826,20240703,30.13,20240704,28.39,10100,-5.77,-17574.0
600460,20240703,17.85,20240704,17.3,17100,-3.08,-9405.0
603155,20240704,10.72,20240705,11.79,27700,9.98,29639.0
002373,20240704,9.51,20240705,8.91,31200,-6.31,-18720.0
000506,20240704,1.04,20240705,1.08,285800,3.85,11432.0
002332,20240705,11.23,20240708,10.67,27100,-4.99,-15176.0
002755,20240705,9.78,20240708,9.43,31100,-3.58,-10885.0
603050,20240705,16.44,20240708,15.74,18500,-4.26,-12950.0
002981,20240708,17.96,20240709,19.75,16200,9.97,28998.0
001298,20240708,13.3,20240709,14.19,21900,6.69,19491.0
002429,20240709,4.59,20240710,4.79,67000,4.36,13400.0
601236,20240709,6.46,20240710,6.39,47600,-1.08,-3332.0
002045,20240709,13.38,20240710,13.44,23000,0.45,1380.0
603386,20240710,12.17,20240711,13.39,25500,10.02,31110.0
002232,20240710,13.07,20240711,13.17,23800,0.77,2380.0
603882,20240710,26.91,20240711,27.82,11600,3.38,10556.0
000797,20240711,2.49,20240712,2.53,130900,1.61,5236.0
002524,20240711,3.25,20240712,3.19,100300,-1.85,-6018.0
603626,20240711,5.5,20240712,5.33,59300,-3.09,-10081.0
000663,20240712,4.53,20240715,4.47,71100,-1.32,-4266.0
002285,20240712,1.68,20240715,1.59,192000,-5.36,-17280.0
600960,20240712,2.9,20240715,2.76,111300,-4.83,-15582.0
002253,20240715,11.22,20240716,10.84,27600,-3.39,-10488.0
603477,20240715,24.99,20240716,24.74,12400,-1.0,-3100.0
600188,20240715,14.6,20240716,14.65,21200,0.34,1060.0
002903,20240716,16.01,20240717,16.4,19100,2.44,7449.0
601020,20240716,12.62,20240717,12.31,24200,-2.46,-7502.0
600246,20240716,6.49,20240717,6.07,47200,-6.47,-19824.0
603737,20240717,25.9,20240718,25.73,11500,-0.66,-1955.0
600869,20240717,2.89,20240718,2.87,103800,-0.69,-2076.0
000679,20240717,2.79,20240718,2.97,107500,6.45,19350.0
002279,20240718,4.85,20240719,4.94,62700,1.86,5643.0
000890,20240718,2.55,20240719,2.49,119400,-2.35,-7164.0
000525,20240718,5.46,20240719,5.66,55700,3.66,11140.0
002321,20240719,1.56,20240722,1.5,197100,-3.85,-11826.0
000925,20240719,5.89,20240722,5.79,52200,-1.7,-5220.0
000952,20240719,5.11,20240722,5.05,60200,-1.17,-3612.0
000793,20240722,1.17,20240723,1.15,257000,-1.71,-5140.0
001379,20240722,13.74,20240723,15.11,21800,9.97,29866.0
603843,20240722,2.54,20240723,2.46,118800,-3.15,-9504.0
002992,20240723,56.97,20240724,53.5,5300,-6.09,-18391.0
600599,20240723,8.07,20240724,8.47,38100,4.96,15240.0
600889,20240723,4.99,20240724,4.76,61700,-4.61,-14191.0
002905,20240724,6.33,20240725,6.48,47300,2.37,7095.0
603386,20240724,12.39,20240725,12.4,24200,0.08,242.0
002478,20240724,4.81,20240725,4.67,62500,-2.91,-8750.0
600322,20240725,1.3,20240726,1.29,230400,-0.77,-2304.0
603051,20240725,16.86,20240726,16.87,17700,0.06,177.0
002101,20240725,9.97,20240726,10.27,30100,3.01,9030.0
000338,20240726,13.12,20240729,12.87,23000,-1.91,-5750.0
603100,20240726,17.44,20240729,17.17,17300,-1.55,-4671.0
002813,20240726,28.36,20240729,29.18,10600,2.89,8692.0
002075,20240729,4.26,20240730,4.42,70700,3.76,11312.0
002869,20240729,30.19,20240730,33.2,9900,9.97,29799.0
000926,20240729,2.03,20240730,2.12,149600,4.43,13464.0
603900,20240730,5.01,20240731,5.06,63700,1.0,3185.0
603516,20240730,31.46,20240731,32.03,10100,1.81,5757.0
603268,20240730,12.78,20240731,12.87,25100,0.7,2259.0
603882,20240731,28.5,20240801,28.96,11300,1.61,5198.0
000049,20240731,25.38,20240801,24.85,12700,-2.09,-6731.0
002058,20240731,7.8,20240801,7.55,41600,-3.21,-10400.0
002916,20240801,88.71,20240805,78.92,3500,-11.04,-34265.0
001212,20240805,16.01,20240806,15.89,19200,-0.75,-2304.0
601865,20240806,18.45,20240807,18.41,16600,-0.22,-664.0
605117,20240806,68.18,20240807,68.09,4500,-0.13,-405.0
600563,20240806,85.52,20240807,83.17,3600,-2.75,-8460.0
603129,20240807,134.69,20240808,136.57,2200,1.4,4136.0
600660,20240807,43.02,20240808,43.18,7100,0.37,1136.0
002977,20240807,30.86,20240808,28.77,10000,-6.77,-20900.0
600243,20240808,3.29,20240809,3.16,90700,-3.95,-11791.0
002309,20240808,1.61,20240809,1.58,185500,-1.86,-5565.0
600165,20240808,1.9,20240809,1.95,157200,2.63,7860.0
002405,20240809,7.21,20240812,7.28,40900,0.97,2863.0
603324,20240809,23.23,20240812,25.55,12700,9.99,29464.0
603458,20240809,5.76,20240812,6.34,51400,10.07,29812.0
002672,20240812,3.91,20240813,3.93,80800,0.51,1616.0
600817,20240812,9.59,20240813,10.55,32900,10.01,31584.0
000010,20240812,1.82,20240813,1.71,174200,-6.04,-19162.0
000793,20240813,1.28,20240814,1.27,250600,-0.78,-2506.0
002729,20240813,10.16,20240814,10.22,31500,0.59,1890.0
600686,20240813,16.21,20240814,17.84,19800,10.06,32274.0
002425,20240814,2.73,20240815,3.0,121300,9.89,32751.0
600105,20240814,3.94,20240815,3.97,84100,0.76,2523.0
002806,20240814,10.2,20240815,10.05,32500,-1.47,-4875.0
002565,20240815,2.7,20240816,2.54,126500,-5.93,-20240.0
000016,20240815,2.49,20240816,2.42,137100,-2.81,-9597.0
600778,20240815,4.46,20240816,4.78,76600,7.17,24512.0
600807,20240816,3.04,20240819,2.99,111700,-1.64,-5585.0
